Year,FAMILY INTERVIEW (ID) NUMBER,AMOUNT CREDIT/STORE CARD DEBT,AMT INVESTED IN STOCKS ,TOTAL FAMILY INCOM, COMPLETED ED
2017,5620,0,0,10800,11
2017,8559,0,0,56000,12
2017,6510,0,0,3705,12
2017,9172,0,0,89347,10
2017,7682,0,0,23500,12
2017,9421,0,0,26000,12
2017,6393,0,0,37207,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4293,0,0,81139,12
2017,8691,0,0,65000,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,8276,0,3120,91000,12
2017,3859,0,0,34656,10
2017,NA,NA,NA,NA,NA
2017,4162,0,0,45500,12
2017,3894,800,0,47032,10
2017,4308,0,0,100222,12
2017,4039,0,0,24000,9
2017,NA,NA,NA,NA,NA
2017,4043,0,0,250800,17
2017,9110,20000,0,155100,17
2017,7810,0,22000,146000,17
2017,8286,0,0,93490,17
2017,5702,0,0,115050,17
2017,4056,8000,0,60012,11
2017,6322,4500,0,245200,16
2017,3802,0,0,8832,12
2017,4360,0,0,12000,9
2017,NA,NA,NA,NA,NA
2017,3831,0,0,67000,11
2017,4371,0,0,14300,11
2017,NA,NA,NA,NA,NA
2017,4984,0,0,40000,11
2017,4348,0,0,5200,10
2017,5898,6000,0,12200,12
2017,7924,0,0,75050,11
2017,5735,6000,0,20000,12
2017,5069,0,0,21552,12
2017,NA,NA,NA,NA,NA
2017,4139,0,0,82000,14
2017,9038,0,0,105100,10
2017,4261,0,0,3600,9
2017,3854,0,0,2961,12
2017,6798,0,0,1800,12
2017,5140,0,0,100,11
2017,4769,0,0,17000,99
2017,4690,0,0,370000,12
2017,4596,0,0,21600,12
2017,5879,500,0,49800,12
2017,4873,0,0,39200,12
2017,5233,2000,0,31000,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,1119,0,0,19000,15
2017,1458,0,0,39000,14
2017,1478,0,0,16700,14
2017,1151,12000,0,50888,14
2017,1173,0,0,7300,11
2017,NA,NA,NA,NA,NA
2017,1744,0,0,10000,12
2017,1510,20000,0,179500,16
2017,1566,0,0,52847,10
2017,214,0,0,16050,12
2017,503,0,0,23730,14
2017,3808,0,0,23301,10
2017,3820,0,0,29400,15
2017,3838,0,0,73814,14
2017,NA,NA,NA,NA,NA
2017,1223,0,0,47520,11
2017,2521,3000,0,63600,14
2017,2400,5000,2000,120300,17
2017,1723,0,0,27020,16
2017,1371,0,5000,93050,17
2017,1669,0,0,25450,12
2017,NA,NA,NA,NA,NA
2017,6042,0,0,0,13
2017,7511,0,0,3000,17
2017,5223,0,0,28220,13
2017,NA,NA,NA,NA,NA
2017,9035,0,0,104050,14
2017,7548,0,0,56400,17
2017,6436,0,0,39450,12
2017,5969,0,0,64010,14
2017,NA,NA,NA,NA,NA
2017,4188,0,0,19728,12
2017,5520,0,0,88000,12
2017,3992,0,0,125400,12
2017,4364,8000,0,53850,12
2017,3818,3000,0,56760,13
2017,4401,600,0,157700,99
2017,9570,15000,0,158500,12
2017,5861,0,0,32759,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,8610,2500,0,111872,15
2017,NA,NA,NA,NA,NA
2017,7631,0,0,145100,14
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,8110,0,0,30444,14
2017,3774,4000,0,16020,12
2017,5514,2500,0,15330,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4863,0,0,54022,12
2017,470,0,0,38897,13
2017,868,0,0,82832,12
2017,NA,NA,NA,NA,NA
2017,40,9000,0,96960,14
2017,392,5000,0,96848,14
2017,283,0,0,160900,14
2017,1963,0,0,85470,16
2017,1885,700,0,103003,16
2017,1100,0,0,77900,13
2017,3586,0,0,68872,16
2017,1914,0,0,-71170,16
2017,2698,0,0,108844,16
2017,2741,0,0,45260,12
2017,3059,0,0,133796,15
2017,NA,NA,NA,NA,NA
2017,2687,0,0,370500,16
2017,3578,0,0,76300,16
2017,NA,NA,NA,NA,NA
2017,3880,0,0,26876,12
2017,6831,3000,0,132100,12
2017,3902,0,0,8400,5
2017,4503,0,0,112192,17
2017,NA,NA,NA,NA,NA
2017,3886,0,0,11844,8
2017,8258,0,0,127490,17
2017,8096,0,0,70400,10
2017,8600,2500,0,60000,17
2017,8029,5000,0,154010,12
2017,8259,1300,0,178000,14
2017,8073,30000,0,52016,12
2017,8293,5000,0,81250,13
2017,9260,0,0,47100,12
2017,NA,NA,NA,NA,NA
2017,8517,570,0,36000,11
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,4197,25000,0,116200,16
2017,NA,NA,NA,NA,NA
2017,3834,0,0,11000,12
2017,3858,20000,0,25606,9
2017,7180,3500,0,39700,12
2017,4383,0,0,67602,16
2017,6731,10000,0,48150,12
2017,8301,30000,0,77000,16
2017,8454,0,0,76772,11
2017,4456,2000,0,56200,10
2017,4212,0,0,20760,12
2017,NA,NA,NA,NA,NA
2017,4811,0,0,130050,12
2017,NA,NA,NA,NA,NA
2017,8283,0,0,30000,12
2017,5238,4000,0,74000,8
2017,NA,NA,NA,NA,NA
2017,7953,0,0,42900,12
2017,NA,NA,NA,NA,NA
2017,8738,0,0,96560,12
2017,NA,NA,NA,NA,NA
2017,3360,0,0,6780,11
2017,NA,NA,NA,NA,NA
2017,3359,0,0,25000,11
2017,NA,NA,NA,NA,NA
2017,4260,0,0,30629,14
2017,4959,0,0,62600,17
2017,4710,0,0,40010,12
2017,3934,0,0,52097,13
2017,3782,0,0,130000,16
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,3833,4000,0,50600,14
2017,9208,4100,0,137475,12
2017,7897,1200,0,92200,17
2017,6845,0,0,130010,17
2017,5744,4000,0,77000,12
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,NA,NA,NA,NA,NA
2017,6005,0,0,77450,12
2017,NA,NA,NA,NA,NA
2017,5715,0,0,18020,12
2017,6377,0,0,126505,13
2017,NA,NA,NA,NA,NA
2017,7312,0,0,93200,16
2017,6193,0,0,38810,17
2017,5884,0,0,170000,17
2017,6411,10000,0,193400,12
2017,NA,NA,NA,NA,NA
2017,5290,0,0,71950,12
2017,9018,50000,0,73000,12
2017,5557,1000,0,49100,10
2017,4282,100,0,22994,10
2017,4452,2000,0,78104,11
